GEOID,Census_Tract,NAME,LOWEST_QUINTILE,SECOND_QUINTILE,THIRD_QUINTILE,FOURTH_QUINTILE,HIGHEST_QUINTILE,TOP5_QUINTILE
1400000US53033028403,53033028403,"Census Tract 284.03, King County, Washington",18784,38193,54210,77973,161918,288033
1400000US53033028500,53033028500,"Census Tract 285, King County, Washington",17318,46647,75668,115089,223399,398217
1400000US53033028600,53033028600,"Census Tract 286, King County, Washington",21064,50147,83475,141064,262985,399752
1400000US53033028700,53033028700,"Census Tract 287, King County, Washington",28398,64888,99831,136650,214637,282148
1400000US53033028801,53033028801,"Census Tract 288.01, King County, Washington",16159,46861,70855,105375,235047,465265
1400000US53033028802,53033028802,"Census Tract 288.02, King County, Washington",17691,38820,60351,85892,192418,310169
1400000US53033028901,53033028901,"Census Tract 289.01, King County, Washington",22425,47985,73642,111168,250480,425726
1400000US53033028902,53033028902,"Census Tract 289.02, King County, Washington",19471,40576,55258,80817,182732,348745
1400000US53033029001,53033029001,"Census Tract 290.01, King County, Washington",26639,51300,76639,113800,222163,377642
1400000US53033029003,53033029003,"Census Tract 290.03, King County, Washington",14338,34383,53139,88116,264367,631668
1400000US53033029004,53033029004,"Census Tract 290.04, King County, Washington",8131,25100,44214,72923,173253,329500
1400000US53033029101,53033029101,"Census Tract 291.01, King County, Washington",26187,52187,73052,108334,207831,316871
1400000US53033029102,53033029102,"Census Tract 291.02, King County, Washington",29150,60725,92947,139026,264604,448232
1400000US53033029203,53033029203,"Census Tract 292.03, King County, Washington",10431,32964,59631,90341,159176,217176
1400000US53033029204,53033029204,"Census Tract 292.04, King County, Washington",22107,51937,75707,117453,203144,269867
1400000US53033029205,53033029205,"Census Tract 292.05, King County, Washington",19407,46416,72999,98377,169869,296372
1400000US53033029206,53033029206,"Census Tract 292.06, King County, Washington",8531,22237,35438,61436,104937,133708
1400000US53033029303,53033029303,"Census Tract 293.03, King County, Washington",17267,50667,73810,110390,190602,261503
1400000US53033029304,53033029304,"Census Tract 293.04, King County, Washington",30682,63620,91216,124899,277042,591045
1400000US53033029305,53033029305,"Census Tract 293.05, King County, Washington",34625,66206,103078,147186,224271,316361
1400000US53033029306,53033029306,"Census Tract 293.06, King County, Washington",37596,70209,98743,139463,204260,266465
1400000US53033029307,53033029307,"Census Tract 293.07, King County, Washington",34865,70930,102717,134325,228321,351071
1400000US53033029403,53033029403,"Census Tract 294.03, King County, Washington",26157,61096,85275,121464,210149,291215
1400000US53033029405,53033029405,"Census Tract 294.05, King County, Washington",36327,68573,89802,128676,205607,293192
1400000US53033029406,53033029406,"Census Tract 294.06, King County, Washington",36101,72160,105132,147467,216760,300372
1400000US53033029407,53033029407,"Census Tract 294.07, King County, Washington",10552,31992,50910,88768,155292,230818
1400000US53033029408,53033029408,"Census Tract 294.08, King County, Washington",17635,37068,56223,86913,154677,221128
1400000US53033029502,53033029502,"Census Tract 295.02, King County, Washington",35030,64302,98195,138720,234540,327566
